GROUP	GID	MEMBERS
root	0	
daemon	1	
bin	2	
sys	3	
adm	4	muchini
tty	5	
disk	6	
lp	7	
mail	8	
news	9	
uucp	10	
man	12	
proxy	13	
kmem	15	
dialout	20	muchini
fax	21	
voice	22	
cdrom	24	muchini
floppy	25	
tape	26	
sudo	27	muchini
audio	29	pulse,muchini
dip	30	
www-data	33	
backup	34	
operator	37	
list	38	
irc	39	
src	40	
shadow	42	vnc
utmp	43	
video	44	vnc,muchini
sasl	45	
plugdev	46	muchini
staff	50	
games	60	muchini
users	100	muchini
nogroup	65534	
systemd-journal	999	
systemd-network	998	
crontab	101	
input	102	lightdm,muchini
sgx	103	
kvm	104	
render	105	vnc,muchini
systemd-timesync	997	
messagebus	106	
_ssh	107	
bluetooth	108	
avahi	109	
netdev	110	muchini
polkitd	996	
spi	995	muchini
i2c	994	muchini
gpio	993	muchini
lightdm	111	
rtkit	112	
pipewire	113	
rdma	114	
lpadmin	115	muchini
ssl-cert	116	
pulse	117	
pulse-access	118	
scanner	119	saned
saned	120	
vnc	992	
colord	121	
feedbackd	122	
muchini	1000	
debian-transmission	123	
cloudflared	990	
docker	989	muchini
clock	991	
Debian-exim	124	
uuidd	125	
tcpdump	126	

