STATE	RECV-Q	SEND-Q	LOCAL_ADDRESS	PEER_ADDRESS	PROCESS
LISTEN	0	128	127.0.0.1:25547	0.0.0.0:*	users:(("Plex Script Hos",pid=2112361,fd=4))
LISTEN	0	128	127.0.0.1:21811	0.0.0.0:*	users:(("Plex Script Hos",pid=2112533,fd=4))
LISTEN	0	128	0.0.0.0:22	0.0.0.0:*	
LISTEN	0	2048	127.0.0.1:10010	0.0.0.0:*	
LISTEN	0	2048	127.0.0.1:6444	0.0.0.0:*	
LISTEN	0	128	127.0.0.1:31035	0.0.0.0:*	users:(("Plex Script Hos",pid=2112459,fd=4))
LISTEN	0	2048	127.0.0.1:10248	0.0.0.0:*	
LISTEN	0	2048	127.0.0.1:10249	0.0.0.0:*	
LISTEN	0	2048	127.0.0.1:10256	0.0.0.0:*	
LISTEN	0	2048	127.0.0.1:10257	0.0.0.0:*	
LISTEN	0	2048	127.0.0.1:10258	0.0.0.0:*	
LISTEN	0	2048	127.0.0.1:10259	0.0.0.0:*	
LISTEN	0	128	127.0.0.1:22653	0.0.0.0:*	users:(("Plex Script Hos",pid=2112687,fd=4))
LISTEN	0	128	127.0.0.1:27587	0.0.0.0:*	users:(("Plex Script Hos",pid=2112529,fd=4))
LISTEN	0	128	127.0.0.1:32600	0.0.0.0:*	users:(("Plex Tuner Serv",pid=2112426,fd=10))
LISTEN	0	1024	127.0.0.1:32401	0.0.0.0:*	users:(("Plex Media Serv",pid=2112336,fd=52))
LISTEN	0	128	127.0.0.1:32413	0.0.0.0:*	users:(("Plex Script Hos",pid=2112566,fd=4))
LISTEN	0	128	[::]:22	[::]:*	
LISTEN	0	1024	*:32400	*:*	users:(("Plex Media Serv",pid=2112336,fd=51))
LISTEN	0	2048	*:6443	*:*	
LISTEN	0	2048	*:10250	*:*	
